name,data_center,building_address,building_city_state_postal,latitude,longitude
Amazon Web Services,Cirion Buenos Aires,Avenue del Campo 1301,"Buenos Aires, Argentina",-34.590404,-58.467110
Amazon Web Services,NEXTDC M1,826 Lorimer St,"Melbourne, VIC, Australia",-37.822020,144.932477
Amazon Web Services,NEXTDC P1,4 Millrose Dr,"Perth, WA, Australia",-31.864402,115.895935
IBM Cloud,Digital Realty SYD10,1-23 Templar Road,"Sydney, NSW, Australia",-33.816259,150.793554
Google Cloud,Digital Realty BRU1,Wezembeekstraat 2,"Zaventem, Belgium",50.871069,4.474127
Amazon Web Services,Equinix SP4,"Avenida Ceci, 1900 ","Barueri, Brazil",-23.493495,-46.809404
Tencent Cloud,Aligned São Paulo - SP-03,Alameda Araguacema 187,"Barueri, Brazil",-23.501976,-46.827318
Amazon Web Services,Equinix TR2,45 Parliament,"Toronto, ON, Canada",43.650928,-79.361776
Google Cloud,Cologix VAN2,1050 West Pender Street,"Vancouver, BC, Canada",49.287112,-123.119330
Oracle Cloud,EdgeConneX SCL01,Carretera General,"Colina, Chile",-33.343394,-70.697286
Alibaba Cloud,Beijing-Langfang-C,<address not available>,"Beijing, China",39.904030,116.407526
Huawei Cloud,CNISP Data Nest 3,"Huo Ma Road, Tongzhou District","Beijing, China",39.754889,116.668480
Tencent Cloud,ap-beijing-fsi-1,<address not available>,"Beijing, China",39.904030,116.407526
Tencent Cloud,GDS BJ2,KeChuang 3rd St,"Beijing, China",39.816861,116.518067
Tencent Cloud,GDS CD1,"Tiansheng Road, High-tech Industry West Park","Chengdu, China",30.572269,104.066541
Alibaba Cloud,Guangzhou-Huangpu-C,<address not available>,"Guangzhou, China",23.129110,113.264385
Huawei Cloud,Shenzhen-Yifeng,<address not available>,"Guangzhou, China",23.129110,113.264385
Huawei Cloud,Huawei Guiyang Gui'an Qixinghu,<address not available>,"Guiyang, China",26.647661,106.630153
Alibaba Cloud,Hangzhou-Yuhang-C,<address not available>,"Hangzhou, China",30.274085,120.155070
Alibaba Cloud,Global Switch Hong Kong,18 Chun Yat Street,"Hong Kong, China",22.287699,114.271727
Microsoft Azure,MEGA-i,399 Chai Wan Road,"Chai Wan, China",22.266098,114.246512
Alibaba Cloud,Qingdao-Laoshan-A,<address not available>,"Qingdao, China",36.087417,120.342734
Alibaba Cloud,Shanghai-Minhang-A,<address not available>,"Shanghai, China",31.247571,121.472587
Huawei Cloud,China Unicom Suzhou Wuzhong Guoke,<address not available>,"Suzhou, China",31.298880,120.585310
Huawei Cloud,Shanghai-Pudong-A,<address not available>,"Shanghai, China",31.247571,121.472587
Tencent Cloud,GDS KS1,Huaqiao International Commerce City ,"Kunshan, China",31.286253,121.154740
Tencent Cloud,ap-shenzhen-f-lj,<address not available>,"Shenzhen, China",22.543099,114.112556
Tencent Cloud,ap-wuhan-a-lkg,<address not available>,"Wuhan, China",30.592849,114.305539
Huawei Cloud,Equinix Bogota,<address not available>,"Bogotá, Colombia",4.598056,-74.075833
Amazon Web Services,Digital Realty MRS1,40 Avenue Roger Salengro,"Marseille, France",43.310924,5.372926
Microsoft Azure,Digital Realty PAR5,11-13 Avenue des Arts et Metiers,"Paris, France",48.914840,2.361694
Oracle Cloud,TELEHOUSE Paris (Voltaire),137 Boulevard Voltaire,"Paris, France",48.856014,2.383441
Amazon Web Services,Equinix FR5,Kleyerstrasse 90,"Frankfurt, Germany",50.098670,8.632260
Tencent Cloud,China Mobile Frankfurt,Starkenburgstrasse 12,"Mörfelden, Germany",49.986030,8.582890
Microsoft Azure,EdgeConneX MUC01,Marsstraße 5,"Munich, Germany",48.158582,11.768805
Amazon Web Services,STT Hyderabad DC1,Software Units Layout CFC-1,"Hyderabad, India",17.441018,78.377831
Amazon Web Services,Equinix MB2,"Plot 37, Chandivali Farm Road, Andheri East","Mumbai, India",19.109353,72.901441
Google Cloud,STT Delhi DC1,Videsh Sanchar Bhavan,"New Delhi, India",28.630859,77.207386
Huawei Cloud,JK5 Jakarta,<address not available>,"Jakarta, Indonesia",-6.171588,106.827868
Microsoft Azure,Equinix DB3,U2 North West Business Park,"Dublin, Ireland",53.407424,-6.345438
Microsoft Azure,Bezeq International Ha’Sivim,18 Hasivim Street ,"Petah Tikva, Israel",32.088476,34.853964
Microsoft Azure,Data4 Campus Milan,Via Monzoro 105,"Cornaredo, Italy",45.480963,9.030182
Alibaba Cloud,netXDC SI3,<address not available>,"Inzai, Japan",35.801655,140.129565
IBM Cloud,Equinix TY2,3-8-21 Higashishinagawa,"Tokyo, Japan",35.622100,139.749984
Tencent Cloud,Equinix TY11,1 Chome-2-41 Ariake,"Koto, Japan",35.639737,139.792362
Huawei Cloud,Nabiax Ixtlahuaca,Edificio tecnológico Ixtlahuaca,"Ixtlahuaca, Mexico",19.568475,-99.766891
Amazon Web Services,Digital Realty AMS7,Cessnalaan 50,"Schiphol-Rijk, Netherlands",52.282169,4.767912
