Approval Year,Economy,Sector,Financing Type,Project Name,Status,Objective,Description,Acquirer,Borrower,amount,Financing Amount
—,Türkiye,Energy,Nonsovereign,Türkiye:  İçtaş Enerji YEKA Erzin-II Hatay 100MW Solar PV ProjectVIEW DETAILS,Proposed,To support Türkiye energy transition through the expansion of solar photovoltaic installed capacity.,"The Project comprises the development, construction, and operation of a solar photovoltaic (PV) plant with 100 MW of installed capacity (134MWp) in the municipality of Erzin, in the province of Hatay. The Sponsor of the Project is IC Içtas Group (the Group), a Turkish conglomerate founded in 1969. The Group owns and operates 1,450 MW of installed capacity, mainly thermal and hydropower plants, and distributes approx. 6.57 billion kWh per annum of electricity.
The Project was awarded to IC İçtaş Enerji in June 2022 through the YEKA GES-4 reverse auction under a license period of 30 years. The auction allocated 700 MW of capacity across 12 solar PV projects under a ceiling price of up to TRYkr 95/kWh. The Project secured an inflation and foreign exchange (FX)-linked tariff of TRYkr 58.4/kWh (the Tariff) whereas tariff bids ranged between TRYkr 49-59.7 /kWh. The Project is entitled to sell up to 23 GWh per MW of capacity installed at the Tariff. The Project agreements were signed between IC İçtaş Enerji and the Ministry of Energy and Natural Resources (MENR) in August 2022.",Asian Infrastructure Investment Bank,IC İçtaş Güneş Enerji Üretim ve Ticaret A.Ş.,32.5,Proposed Funding: USD32.5 million
—,Bangladesh,Other,Sovereign,Bangladesh: Climate Resilient Inclusive Development Program (Subprogram 1)VIEW DETAILS,Proposed,"To help the Government of Bangladesh (GoB) implement critical structural reforms to mainstream climate change adaptation and mitigation actions for a sustainable, resilient and inclusive growth.","The proposed Program will support the GoB undertake key policy reforms to mainstream climate adaptation, mitigation, and disaster resilience in critical sectors and unlock climate investments in Bangladesh. The Program supports implementation of the GoB-led national climate objectives as articulated in the National Adaptation Plan (NAP), 2023–2050 and the Nationally Determined Contributions 2021 update (NDC-U) by strengthening the intergovernmental policy and institutional framework, mobilizing climate finance, and mainstreaming gender equality and social inclusion (GESI). The Program will include three policy Reform Areas (RAs): (i) enabling environment for climate change actions; (ii) reinforcing climate change adaptation actions; and (iii) accelerating climate change mitigation actions to address some of the critical binding constraints.",Asian Infrastructure Investment Bank,People’s Republic of Bangladesh,400,Proposed Funding: USD400 million
—,India,Multi-sector,Nonsovereign,India: NIIF PMF IIVIEW DETAILS,Proposed,"Mobilize private capital to support the development of India’s private equity and venture capital markets, with an emphasis on emerging, new fund managers investing in sustainable infrastructure projects.","The National Investment and Infrastructure Fund Limited (NIIF), a quasi-sovereign investment manager backed by the Government of India (GoI), is launching a second Private Markets Fund (PMF II), targeting USD 1.0 billion to invest in infrastructure assets supporting India’s environmental, social and economic priorities. Focused sectors include renewable energy, electric vehicle (EV) infrastructure, waste management, urban and social infrastructure, technology, and financing and manufacturing activities targeting these sectors and related supply chains. NIIF will continue the strategy of its first private markets fund (PMF I) by leveraging its on-the-ground presence and market intelligence in India.
AIIB anchored PMF I (Board approved in 2018) and has been working closely with NIIF in the monitoring of the Bank’s investments. NIIF has demonstrated professional approach and skills in both investment and management of portfolio funds.",Asian Infrastructure Investment Bank,National Investment and Infrastructure Fund Limited,125,Proposed Funding: USD125 million
—,Bangladesh,Energy,Sovereign,Bangladesh: Electricity Distribution Modernization (Chattogram and Sylhet Divisions) ProjectVIEW DETAILS,Proposed,"To increase delivery, reliability, and efficiency of power supply in selected areas of Chattogram and Sylhet Divisions in Bangladesh.","Bangladesh Rural Electrification Board (BREB), one of the major state-owned entities in the energy sector in Bangladesh, is responsible for extending electricity distribution services to the rural areas of the country. The entity, through its 80 “Palli Bidyut Samities” (PBSs) (i.e., rural electricity clusters) organized under eight divisions, collectively serves more than 77 percent of the country’s electricity consumers. Out of 80 PBSs, Chattogram and Sylhet divisions have 19 PBSs that provide services to around 9.2 million consumers (including industrial and commercial users).
These two divisions have developed socio-economically at an accelerated pace in the last 15 years. The Government of Bangladesh’s (GoB) has targeted developing 25 Economic Zones (EZs) and other mega infrastructure in the Chattogram division and expanding industrial opportunities in the Sylhet division. BREB anticipates an increase in consumer demand for reliable electricity supply in these two divisions. In order to (i) cater to the expected additional demand, (ii) decongest the network, and (iii) reduce the distribution losses, BREB has initiated this project to increase the capacity and modernize the distribution network.
The following activities are planned in the project scope:

Installation and augmentation of approximately 135 nos. of 33/11 kilovolt (kV) substations (2,062 megavolt-amperes (MVA));
Construction and modernization of around 30,000 kilometers (km) of 33/11 kV distribution lines; and
Installation of River-crossing Towers, Switching Stations, Supervisory Control and Data Acquisition (SCADA) System, and Fault Locators
",Asian Infrastructure Investment Bank,"Ministry of Finance, People’s Republic of Bangladesh ",531,Proposed Funding: USD531 million
—,Thailand,Energy,Nonsovereign,Thailand: GULF Renewable Power ProjectVIEW DETAILS,Proposed,The objective of the Project is to promote clean energy generation in Thailand through the development of a portfolio of solar photovoltaic (PV) power plants and the installation of battery energy storage systems (BESS).,"The Project involves the development, construction, and operation of eight solar PV power plants with a total capacity of 393-megawatt (MW) and four solar PV power plants with a total capacity of 256 MW integrated with BESS.",Asian Infrastructure Investment Bank,Gulf Renewable Energy Company Limited,170,Proposed Funding: USD170 million
2024,Rwanda,Energy,Sovereign,Rwanda: Accelerating Sustainable and Clean Energy Transformation (ASCENT) RwandaVIEW DETAILS,Approved,The Project objective is to increase access to sustainable and clean energy in the Republic of Rwanda.,"The Project will increase access of households and businesses to less carbon intensive and lower greenhouse gas (GHG) emitting sources of energy by increasing grid electrification and enhancing the availability of and access to clean cooking solutions. The Project comprises: (i) provision of grid-based electricity connections through grid densification in areas already covered by the grid and through grid extension to new areas; (ii) provision of off-grid electricity solutions; and (iii) provision of clean cooking solutions. Specifically, the Project scope involves:
1. Provision of 420,000 grid connections including related backbone infrastructure.
2. Upgrade of four 110/30kV and two 110/15kV transformers in five existing substations; construction of one 110/30kV substation, two 20 megavolt-amperes (MVA) transformers and one 110kV transmission line (21km); construction of one 220kV transmission line (56km); construction of four 30/15kV, 5MVA substations and associated medium voltage (MV) feeder lines; construction of three MV switching cabins; and extension and/or upgrade of 160km of MV lines and rehabilitation of low voltage (LV) lines in Kigali City, Southern Province and Western Province, to reinforce the transmission and distribution system and increase system efficiency and reliability.
3. Provision of at least 50,000 solar home systems (SHS), 80,000 household clean cooking technologies and 60 institutional clean cooking solutions.
The Project will be jointly co-financed with the World Bank (WB) as the lead cofinancer.",Asian Infrastructure Investment Bank,Energy Development Corporation Limited (EDCL)Felix Gakuba,100,Approved Financing: USD100 million
2024,Türkiye,Other,Nonsovereign,Türkiye: Smart Solar Manufacturing ProjectVIEW DETAILS,Approved,To scale up solar module and cell manufacturing capacity in Türkiye.,"AIIB will partially finance the capital expenditure of a new 1,500 MW/year solar cell and 1,200 MW/year solar module manufacturing facility, in Izmir, Türkiye (Aliağa Facility or the Project). The Project is being developed by Smart Güneş Enerjisi Teknolojileri Ar-Ge Üretim Sanayi ve Ticaret A.Ş (Smart Güneş), a leading solar module manufacturing company in Türkiye. This will allow Smart Güneş to expand its module manufacturing capacity to approximately 2.2 GW/year, becoming one of the largest manufacturers in Türkiye and achieving vertical integration through entering cell manufacturing.",Asian Infrastructure Investment Bank,Smart Güneş Enerjisi Teknolojileri Ar-Ge Üretim Sanayi Ve Ticaret A.Ş,30,Approved Financing: USD30 million
2024,Tajikistan,Transport,Sovereign,Tajikistan: Obigarm-Nurobod Road Project–Long Bridge and Approach RoadsVIEW DETAILS,Approved,To improve connectivity along the Obigarm–Nurobod section of M41 Highway by constructing a long bridge and its approaches.,"The proposed Project will construct a 920-meter bridge and its approaches (the Long Bridge) on Obigarm–Nurobod section of M41 Highway to replace the existing segment that will be submerged by the Rogun dam reservoir.
The alignment replacement will ensure continued connectivity along a vital transport corridor in Tajikistan that connects central part of the country with northeast and border to the Kyrgyz Republic.
The Obigarm–Nurobod section of M41 Highway (75km) is referred to as the Overall Project, which has been divided into three sections:
(i) The Obigarm–Tagikamar section is about 30km long financed by ADB and OFID; it is hereinafter referred to as Section 1;
(ii) The Tagikamar–Nurobod section is about 44km long financed by the EBRD; it is hereinafter referred to as Section 2; and
(iii) The 920-meter-long bridge and its approaches will be financed by AIIB; it is referred to as Section 3 or the Project.",,,75.5,Approved Financing: USD75.5 million
—,Uzbekistan,Multi-sector,Nonsovereign,Uzbekistan: Asakabank Energy Efficiency and Renewables FacilityVIEW DETAILS,Proposed,"To support climate change mitigation in Uzbekistan by financing energy efficiency and renewables sub-projects, including rooftop solar, via a senior unsecured loan to Asakabank.","The Project is a USD30 million five-year, senior unsecured loan denominated in CNY (approximately CNY215 million) to Asakabank. The proceeds from the loan will be on-lent to eligible subprojects in the fields of energy efficiency and renewables.",Asian Infrastructure Investment Bank,Joint Stock Company (JSC) Asakabank ,30,Proposed Funding: USD30 million
2024,Türkiye,Transport,Nonsovereign,Türkiye: Antalya Airport Expansion Project (Upsize Facility)VIEW DETAILS,Approved,To contribute to the initial phase of Antalya Airport sustainable development and connectivity enhancement expansion through the provision of a follow-on capex bridging loan.,"The Project comprises three components:
(i) Terminal Works: expansion of International Terminal 2, Domestic Terminal and related carparks;
(ii) Airside Works: additional apron space and taxiways, infrastructure works for new maintenance hangar area, cargo terminal; and
(iii) Other Works: gates, landscaping, on-site solar farm, and others.
The Project will increase the annual capacity of the Antalya Airport (the “Airport”) from 40 million passengers to 80 million passengers in three phases.
At the end of 2021, the Sponsors won the tender and signed the new lease agreement with the Turkish State Airport Authority to develop and operate the Airport. The Sponsors have operated the Airport under the current lease agreement since 2007.
Pursuant to the lease agreement, the Sponsors are required to make an upfront payment amounting to 25 percent of the total rental fee. As such, they have entered into a 2-year loan facility with a syndicate of commercial banks. The Sponsors arranged similar loan facilities to finance the capital expenditure until March 2024 for the expansion works from commercial banks and multilateral development banks, including AIIB (P000639). The proposed loan will finance the remaining capital expenditures and financing costs which occur beyond initial loan tenor, i.e., from March 2024 to September 2025 when all prior short-term loan facilities are expected to be refinanced via a long-term project financing loan.",Asian Infrastructure Investment Bank,"Fraport TAV Antalya Yatırım,Yapım ve İşletme A.Ş.",75,Approved Financing: EUR75 million
—,Indonesia,Urban,Sovereign,Indonesia: Solid Waste Management for Sustainable Urban Development ProjectVIEW DETAILS,Proposed,To improve solid waste management services in participating cities and districts in Indonesia.,"Component 1: Solid Waste Infrastructure in Participating Cities and Districts. This component will finance priority investments in waste management infrastructure in each participating city and district, including support for better utilization and upgrading existing infrastructure. Priority investments include: (i) the construction of integrated waste treatment facilities (resource recovery and refuse derived fuel (RDF) plants) and upgrading existing landfills; (ii) the provision of waste collection facilities and transport services. The latter subcomponent covers the construction and/or rehabilitation of transfer stations and the procurement of goods and equipment, including collection containers and fleets, mechanical cleaning equipment, compaction systems, tracking systems, or route optimization software with considerations to improve services in low-income areas, among others.
Component 2: Capacity Building, Technical Assistance, and Implementation Support. This component will finance activities related to: (i) capacity building and technical assistance for institutional strengthening including training and workshops for regulators and operators; knowledge-exchange programs and citizen engagement and awareness campaign; waste management planning and budgeting; training on waste service costs and levies as well as its optimization, inter-regional coordination, handling the integration of waste pickers, independent aggregators, especially women, into formal SWM businesses; alternative service delivery models including private sector participation; among others, and (ii) Implementation and Project Management Support including: procurement, financial management, monitoring and evaluation, environmental and social safeguards, and construction oversight and quality assurance. It will provide support to the relevant national and local officials for effective project implementation.",Asian Infrastructure Investment Bank,Republic of Indonesia,150,Proposed Funding: USD150 million
—,Bangladesh,Water,Sovereign,Bangladesh: Bangladesh City Inclusive Sanitation ProjectVIEW DETAILS,Proposed,The objective of the Bangladesh City Inclusive Sanitation Project (“the Project”) is to increase access to urban sanitation services in an inclusive manner in selected municipalities of Bangladesh.,"The Project will help address gaps in sanitation service coverage in municipalities particularly in low-income communities and informal settlements that conventional sewer systems cannot reach. The Project will support different sanitation services depending on the specific needs of municipalities, which may include septic tank maintenance services, construction of communal sanitation facilities and public toilets, decentralized sewer systems, and wastewater treatment facilities. The Project will also support institutional and capacity building of project implementing agencies, development of sustainable operational models, and awareness building in beneficiary communities. 
The Project will include the following components: Component 1 - Sanitation and Hygiene Improvement; Component 2 - Institutional Strengthening and Capacity Building; and Component 3 - Project Management and Coordination.",Asian Infrastructure Investment Bank,Republic of Bangladesh,200,Proposed Funding: USD200 million
2024,Multicountry,Multi-sector,Nonsovereign,Multicountry: Actis Asia Climate Transition FundVIEW DETAILS,Approved,"The Project Objective is to promote the reduction of greenhouse-gas emissions as a path to net zero by investing in renewable energy infrastructure, energy solutions and sustainable transportation in Asia, with a leaning towards emerging Asia.","The Project is proposing an equity investment of USD75 million into the Actis Asia Climate Transition Fund (AACT, the Fund) plus a co-investment sleeve up to USD25 million alongside the Fund. The Fund will be managed by Actis GP LLP (Actis).
The Fund is characterized by strong strategic alignment with AIIB’s Corporate Strategy and Thematic Priorities supported by Actis’ solid investment track record in emerging markets. Leveraging Actis’ sectoral expertise in energy and sustainable infrastructure, the Fund mainly targets making investments that align with climate transition themes in the following sub-sectors including (i) renewable energy infrastructure, (ii) energy solutions and (iii) sustainable transportation, via controlling or significant minority stakes. The Fund will also include measures to close gender gaps by improving women’s access to employment, entrepreneurial opportunities, and leadership positions in portfolio companies and their value chains. Geographically, the Fund’s investment strategy mainly targets opportunities that are operating in countries in Asia and the Pacific including India, Indonesia, Malaysia, the People’s Republic of China, the Philippines, Thailand, and Viet Nam.
The Fund is Sustainable Finance Disclosure Regulation (SFDR) Article 9 classified with objectives of materially reducing greenhouse gas emissions on its investments.",Asian Infrastructure Investment Bank,Actis GP LLP,100,Approved Financing: USD100 million
2024,Türkiye,Energy,Nonsovereign,Türkiye: Uludağ Electricity Distribution Network Upgrade and Modernization ProjectVIEW DETAILS,Approved,"To support the upgrade, modernization, and expansion of the medium- and low-voltage electricity distribution network of the Uludağ region.","The Project involves the provision of a senior secured loan of up to USD 28 million in Turkish lira (TRY) to support the regulatory capex program of Uludağ Elektrik Dağitim A.Ş. (UEDAŞ), the incumbent distribution network operator of the Uludağ region. The capex program is approved by the Energy Market Regulatory Authority (EMRA) under the Fourth Tariff Implementation Period 2021-2025 (TIP-4). 
UEDAŞ is one of the 21 electricity distribution companies of Türkiye created in 2010 following the privatization of the sector. Its network supplies electricity to over 3.5 million users within a 35,501 km2 service area that encompasses four provinces bordering the Marmara Sea: Bursa, Balikesir, Canakkale and Yalova. In 2022, the region had a population of 5.1 million and consumed 19.6TWh, representing approximately 6% of Turkey's electricity demand. The UEDAŞ network has approx. 53,600km of distribution lines and 11,177 transformers.
Since April 2022, the Borrower and its affiliates, Ulug Elektrik Dağıtım ve Perakende Hizmetleri Satis A.Ş. (Ulug) and Uludağ Elektrik Perakende Satis A.Ş. (UEPSAŞ) are wholly owned subsidiaries of Actis Long Life Infrastructure Fund (Actis). 
The Project will contribute to the expansion, rehabilitation, and efficiency of the Uludağ electricity distribution network through multiple investments, including the procurement, installation, and operation of medium- and low-voltage overhead lines, underground lines, transmission connection lines and transformers. Through these investments, the Project will help reduce power outages, control theft and losses, enhance the operation’s environmental and safety standards, and improve the network’s efficiency and reliability. The Project will expand the digitalization of the network through technology investments and improve the average age of equipment.",Asian Infrastructure Investment Bank,Uludağ Elektrik Dagitim A.Ş. (UEDAŞ) ,28,Approved Financing: USD28 million
—,Türkiye,Transport,Sovereign,Türkiye: Türkiye Emergency Road Rehabilitation and Reconstruction ProjectVIEW DETAILS,Proposed,To restore connectivity and enable safe and efficient movements of goods and people by rehabilitating essential transportation infrastructure located in the earthquake affected areas of Türkiye.,"The Project will rehabilitate and reconstruct roads, tunnels, and bridges damaged by the February 2023 earthquakes that occurred in the southeast of Türkiye. The project activities will be implemented through five (5) subprojects which will entail rehabilitation and enhancement of transportation infrastructure to meet required safety and capacity standards, as well as integration of climate-resilient measures to mitigate and withstand the impacts of seismic events in the future.
The Project will be prepared and implemented by the General Directorate of Highways (Karayolları Genel Müdürlüğü, referred to as “KGM”) under the Ministry of Transport and Infrastructure to ensure efficient execution and compliance with national regulations and AIIB policies. The subprojects are located within the jurisdictions of the KGM Regional Directorates 5 (Mersin) and 8 (Elazig).",Asian Infrastructure Investment Bank,Ministry of Treasury and Finance,200,Proposed Funding: USD200 million
—,Cambodia,Water,Sovereign,Cambodia: Integrated Water Resources Management ProjectVIEW DETAILS,Proposed,The objective of Cambodia Integrated Water Resources Management Project (“the Project”) is to improve dry season irrigation water availability and to cope with wet season flooding in Pursat and Sangker River Basins through an integrated water resource management (IWRM) approach.,"The Project will be co-financed with the Asian Development Bank (ADB), who will be the lead co-financier. To achieve the objective, the Project will: (i) strengthen the planning and coordination capacities of the provincial River Basin Management Committees (RBMCs); (ii) increase irrigation water availability in the dry season through construction and rehabilitation of water regulator and canals; and (iii) improve flood-control and drainage facilities to reduce flood risks in the wet season.
Three components have been proposed for the Project: Component 1 - Strengthen the planning and coordination capacities of water resources management of provincial RMBCs; Component 2 - Increase irrigation water availability during the dry season; and Component 3 - Reduce flood risks during the wet season.",Asian Infrastructure Investment Bank,Kingdom of Cambodia ,80,Proposed Funding: USD80 million
2024,Bangladesh,Urban,Sovereign,Bangladesh: Bangladesh Integrated Solid Waste Management Improvement ProjectVIEW DETAILS,Approved,To improve Solid Waste Management (SWM) services in selected Urban Local Bodies (ULBs) in Bangladesh.,"The Project includes the following components:
Component 1 (Waste Collection and Transportation) will help improve and optimize solid waste collection and transportation services in selected ULBs including, but not limited to, provision of collection containers and fleet, and mechanical cleaning equipment.
Component 2 (Waste Processing and Disposal) will finance prioritized waste processing and disposal infrastructure, including closure of polluting waste dump sites, construction and/or rehabilitation of sanitary landfills, provision of facilities related to composting and resource recovery, and ancillary facilities.
 Component 3 (Capacity Building and Project Management Support) will support strengthening of institutional capacity for relevant central and local agencies. It will also support Project management, monitoring and evaluation, environmental and social risk management, procurement, financial management, supervision and maintenance of infrastructure investments. supervision and maintenance of infrastructure investments.",Sangmoo Kim,Anwar Hossain,200,Approved Financing: USD200 million
—,Tajikistan,Energy,Sovereign,Tajikistan: Rogun Hydropower Development Project – Phase 1VIEW DETAILS,Proposed,"To enhance national and regional energy security and promote renewable energy, cross-border connectivity, and regional decarbonization by supporting the development of a 3,780 MW hydropower plant in Tajikistan.","A proposed Project supports the construction of a hydropower plant, currently in progress, with a designed generation capacity of 3,780 MW, a 335-meter-high dam, a reservoir area of 170km2, and a total reservoir capacity of 13.3km3. It is located on the Vakhsh River (a tributary of the Amu Darya River), 110 kilometers from the capital city of Dushanbe, upstream of the Nurek Hydropower Plant. The large reservoir can provide seasonal regulation, supplying firm energy during the winter season and reliable electricity to meet growing domestic demands at an affordable cost. Furthermore, it has the potential to export clean energy to Central Asian countries, generating significant export revenue for many years to come. The design of the HPP is assessed for exposure to physical climate risks, and appropriate risk mitigation measures will be incorporated to reduce the plant's vulnerability to climate hazards during construction and especially at the operation stage. The Project has been assessed against European climate policies and confirmed in compliance with the joined MDB Paris Agreement alignment methodology on both climate mitigation (BB1) and climate adaptation (BB2).
Rogun HPP can also act as a balancing plant for Tajikistan and the broader Central Asia region, facilitating easier integration of intermittent renewable energy and contributing to decarbonizing the fossil-fuel-dominated Central Asia power systems.
In Phase 1, AIIB is considering investing USD 200 million in certain components of the Project. Further phases of development will be reviewed at a later stage by reflecting on the progress to date.",Asian Infrastructure Investment Bank,Republic of Tajikistan,200,Proposed Funding: USD200 million
2023,India,Energy,Nonsovereign,India: Project MeridianVIEW DETAILS,Approved,To support the development of Infrastructure Investment Trust (InvIT) as an infrastructure asset class in India by financing the InvIT’s acquisition of renewable energy assets.,"Mahindra Susten Private Limited (MSPL), backed by Mahindra Group and 2726522 Ontario Limited (a 100% subsidiary of the Ontario Teachers’ Pension Plan Board (OTPPB) jointly referred to as the Sponsors, have set-up and registered an Infrastructure Investment Trust under the SEBI InvIT Regulations called Sustainable Energy Infra Trust (SEIT, the Trust). The Trust is set up with an investment strategy focused on renewable energy, supporting India to achieve its Net Zero targets. The Trust will acquire from the Sponsors' portfolio consisting of eight 100 percent operational solar power projects of 1.54 gigawatt peak (GWp) capacity (Portfolio Assets).
AIIB’s investment into Units (InvIT Units) to be issued by the Sustainable Energy Infra Trust (SEIT, the Trust) will finance the Project, which consists of the Trust’s acquisition of eight identified renewable energy assets (Portfolio Assets), by de-leveraging and paying the Trust’s set-up expenses. By supporting the formation of SEIT, Sponsors will be provided an efficient financing channel to monetize investments in revenue-generating infrastructure assets, thereby freeing up the much-needed capital for Sponsors to undertake new project development. In addition, the Project contributes to mobilizing private capital, and building the capital-raising track record of InvITs as an infrastructure asset class in India.",Asian Infrastructure Investment Bank,Sustainable Energy Infra Trust,73,Approved Financing: USD73 million
2023,Pakistan,CRF-Economic Resilience/PBF,Sovereign,Pakistan: Second Resilient Institutions for Sustainable Economy (RISE-II) Development Policy FinancingVIEW DETAILS,Approved,"Program Objectives are to enhance the policy and institutional framework to improve fiscal management, and improve the regulatory framework to foster growth and competitiveness.","RISE-II is supported under the COVID-19 Crisis Recovery Facility (the Facility) of the Bank and co-financed with the World Bank (WB) as a Development Policy Financing (DPF) under the WB’s DPF Policy to further key institutional and policy reforms. AIIB co-financed RISE-I with WB in 2020, which was first in the proposed programmatic series to assist the Government of Pakistan (GoP) strengthen its polices for improved macroeconomic management and business competitiveness in the medium term.
The objectives of the second programmatic operation are to strengthen the country’s macroeconomic management and support a more sustained and inclusive growth by mitigating the compounded socioeconomic effects of the COVID-19 pandemic and other exogenous and domestic shocks. The proposed operation will provide external financing to help GoP implement critical policy reforms to accelerate economic recovery and build the foundations for sustainable growth. Specifically, RISE-II seeks to further address key institutional and policy constraints for effective fiscal management and private sector investments to induce economic growth and reduce poverty by (i) enhancing the policy and institutional framework to improve fiscal management, and (ii) improving the regulatory framework to foster growth and competitiveness. Reforms supported by the programmatic series are relevant to current economic challenges and have already contributed to important outcomes of strengthening institutions for fiscal and debt management, broadening tax base and reducing distortions, eliminating trade barriers, and rationalizing power sector subsidies.",Asian Infrastructure Investment Bank,Government of Pakistan,250,Approved Financing: USD250 million
—,Philippines,Transport,Sovereign,Philippines: Facility for Accelerating Studies for Infrastructure (FAST-Infra)VIEW DETAILS,Proposed,To develop a robust transportation infrastructure investment program aligned with the Philippines’ sustainable development goals.,"The Project will support (i) the formulation of transport infrastructure master plans, covering passengers and goods, (ii) the development of manuals, guidelines, and tools to plan and define low-carbon, climate resilience, safe, and technology-enabled transport infrastructure, and (iii) the procurement and implementation activities.",Asian Infrastructure Investment Bank,Republic of the Philippines (GOP),44,Proposed Funding: USD44 million
2023,Indonesia,Health Infrastructure,Sovereign,Indonesia: Modernization of the Health SystemVIEW DETAILS,Approved,To increase the availability of functional equipment in public health facilities and improve the utilization of public health services across Indonesia.,The Project comprises three components to close the medical equipment gaps nationwide: (i) a primary care component at the three levels of primary care facilities in Indonesia; (ii) a referral network component at the three levels of hospital care in Indonesia; and (iii) a public health laboratory component in Indonesia.,Asian Infrastructure Investment Bank,Republic of Indonesia,999,Approved Financing: USD999 million
—,Kazakhstan,Health Infrastructure,Nonsovereign,Kazakhstan: Kokshetau PPP Hospital ProjectVIEW DETAILS,Proposed,"To enhance access to quality medical care infrastructure and services in Kokshetau, Kazakhstan.","The proposed Public-Private Partnership (PPP) hospital project (the Project) will design, build, finance, and maintain a 630-bed multi-specialty hospital in Kokshetau, Kazakhstan. The Republic of Kazakhstan, represented by the Ministry of Healthcare (of Kazakhstan), shall act as the administrator for the Project. The total Project agreement period will span over seven years, encompassing a two-year construction phase followed by a five-year operational phase.",Asian Infrastructure Investment Bank,RenEll Kokshetau LLP ,110,Proposed Funding: EUR110 million
—,Multicountry,Multi-sector,Nonsovereign,Multicountry: eWTP Arabia Fund IIVIEW DETAILS,Proposed,"To improve connectivity, digital services, and trade in the GCC region through the Fund’s targeted investments into digital infrastructure, industrial and logistics infrastructure, and manufacturing.","eWTP Arabia Technology Innovation Fund II is a private equity fund with a focus on growth stage technology and technology-enabled investments in the Gulf Community Countries (“GCC"") region.",Asian Infrastructure Investment Bank,eWTP Arabia Technology Innovation Fund GP II Limited,50,Proposed Funding: USD50 million
2023,Philippines,CRF-Economic Resilience/PBF,Sovereign,Philippines: Build Universal Health Care Program (Subprogram 2)VIEW DETAILS,Approved,"The principal objective of the Program is to improve the equitable access to quality health services for all Filipinos that are also responsive to gender-specific health concerns and health impacts of climate change. The proposed policy-based loan, co-financed with Asian Development Bank (ADB) under the COVID-19 Crisis Recovery Facility (CRF or the Facility), will provide financing for the efforts of the Government of the Philippines to strengthen public health systems in the post-pandemic era and enhance the country’s preparedness and responsiveness to unanticipated health crises.","The Program aims to support the implementation of the Universal Health Care (UHC) Act of the Philippines through a series of reforms that will broaden the coverage of healthcare services for the population and increase financing for UHC to strengthen the preparation, prevention, and response to future pandemics. It will also help expand primary healthcare facilities across the country and enhance the quantity and quality of second and third-tier health institutions and the capacity of healthcare workers. Furthermore, the Program will support the nationwide implementation of interoperability of health information systems, monitoring of UHC outputs and outcomes, and performance incentives for UHC-related activities of the local government units.",Asian Infrastructure Investment Bank,Republic of the Philippines,450,Approved Financing: USD450 million
2023,Uzbekistan,Economic Resilience / PBF,Sovereign,Uzbekistan:  First Inclusive and Resilient Market Economy Development Policy OperationVIEW DETAILS,Approved,"The Operation’s objective is to advance Uzbekistan's transition to an inclusive and resilient market economy by supporting reforms to help create markets, improve fiscal risk management and public procurement, and support social inclusion and green resilience.","The Operation is proposed to be supported under the COVID-19 Crisis Recovery Facility (the Facility) of the Bank and co-financed with the World Bank (WB) under the WB’s Policy on Development Policy Financing (DPF). 
The Operation supports the Government of Uzbekistan (GoU) in the transition to an inclusive and resilient market economy. The reforms supported by this Operation are organized under the following three pillars: (i) creating markets, (ii) improving fiscal risk management, and (iii) supporting social inclusion and green resilience. A suite of sectoral reforms in energy, agriculture, rail, and chemical sectors will be implemented to establish arms-length regulation and the basis for private sector entry while maintaining fiscal prudence. Reforms, particularly in infrastructure sectors, are essential in supporting the delivery of health care and public services and in stimulating economic recovery in the post-COVID-19 period. The consolidation of Uzbekistan's growing social protection system under one umbrella will improve the effectiveness of the social assistance programs. Furthermore, the Operation will support Uzbekistan's actions to tackle climate risks and facilitate the transition to a green economy.",Asian Infrastructure Investment Bank,REPUBLIC OF UZBEKISTAN,670,Approved Financing: USD670 million
2023,Egypt,Transport,Nonsovereign,Egypt: Damietta Port - Container Terminal IIVIEW DETAILS,Approved,To expand the transhipment and gateway container-handling capacity of the Damietta Port via a concession agreement (CA) for the superstructure construction and equipment of the port second container terminal (CT II).,"The Project comprises the design, construction, and operation of CT II’s superstructure, consisting of equipment (i.e., quay cranes, rubber-tyred gantry cranes, trucks) and facilities (i.e., pavement, electricity) at Damietta Port located in Egypt. Separate from, but related to the Project, the Damietta Port Authority (DPA) is responsible for the provision and financing of the infrastructure required for the terminal (including land excavation and foundation works, construction and maintenance of quay walls, dredging of the access channel and basin) and all utilities, access roads and rail tracks, up to the boundaries of CT II. These DPA activities are not financed by AIIB and are considered an associated facility out of the Borrower’s control. The CA was signed on May 18, 2022. The Project revenues will be generated through the operations of CT II for a concession period of 30 years.",Asian Infrastructure Investment Bank,Damietta Alliance for Container Terminals S.A.E.,100,Approved Financing: USD100 million
