src_id,prj_name,countries,latitude,longitude,location,status,funder,cost,currency,description,data source
project_001,Bagamoyo Port Project,Tanzania,-6.467227,38.961534,"https://earth.google.com/web/@-6.46881717,38.94824228,9.10490722a,7927.60230026d,35y,0.42333923h,0t,0r; chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.viwanda.go.tz/uploads/documents/sw-1620119076-IIDS%20Main%20Report%20signed.pdf",Paused,China Merchants Group,10000000000,USD,"Project halted by former President Magafuli, citing ""exploitative"" terms of agreement. Current President Hassan announced plans to revive the project in 2021, although the actual process has yet to begin; As of 2023, talks still happening",https://www.thecitizen.co.tz/tanzania/news/national/tpa-why-bagamoyo-port-project-plausible-3985096
project_002,Melbourne Port 50-Year Lease,Australia,-37.85,144.9,https://www.findaport.com/port-of-melbourne#berthing,Active,China's sovereign wealth fund CIC,7300000000,USD,,https://www.wsj.com/articles/australia-reviews-china-port-lease-near-u-s-military-outpost-11622032073
project_003,Malaysia Malacca Huangjing Port Project,Malaysia,2.179101,102.255779,"https://earth.google.com/web/search/Melaka+Gateway,+Jalan+Pulau+Melaka+1,+Taman+Pulau+Melaka,+Malacca,+Malaysia/@2.18328471,102.25352866,4.94946736a,5939.58209728d,35y,0.04189067h,28.16843432t,0r/data=CrgBGo0BEoYBCiUweDMxZDFlZTAyMGI1MzM0M2Y6MHg4MmVmOTk5YjcwMTE4MjEzGakeH-NAbgFAIVJCsKpekFlAKktNZWxha2EgR2F0ZXdheSwgSmFsYW4gUHVsYXUgTWVsYWthIDEsIFRhbWFuIFB1bGF1IE1lbGFrYSwgTWFsYWNjYSwgTWFsYXlzaWEYAiABIiYKJAmcOmVCfOABQBF9Q4XjCCQBQBlOCcmvS5RZQCEGUWBFNYlZQDIpCicKJQohMU5zckgteGV0NUxKb1RHcHhwUkdRYUwxLUx3ZGZORFEtIAE",Cancelled,China Power Construction Group,7200000000,USD,"Project cancelled by Malaysia, w/ Chinese partner leaving the venture",
project_004,El Hamdania Port Project,Algeria,36.621451,2.260802,"https://earth.google.com/web/search/hamdaniye+port/@36.62205058,2.25824377,0.31617579a,1167.95928263d,35y,58.11592124h,45.0021623t,-0r/data=CnkaTxJJCiUweDEyODU3NjUyNDQ3Mjk2NjU6MHgzNzY1MTlkYmFkYWI4ODBiGTty_-yiT0JAIQiYVMjwEwJAKg5oYW1kYW5peWUgcG9ydBgCIAEiJgokCarrlET9IkVAEVWQyxvSGkVAGWF7G2OoS2BAITte55bURmBAMikKJwolCiExTnNySC14ZXQ1TEpvVEdweHBSR1FhTDEtTHdkZk5EUS0gAQ",Cancelled,China Construction and China Harbour Construction,3300000000,USD,Chinese consortium will operate the port for the first 25 years; Construction actually began in May 2021 after being stalled in February 2019 then officially suspended in April 2019,
project_005,Rason Special Zone Piers 4-6 Lease,North Korea,42.230426,130.286026,"https://earth.google.com/web/search/rason+pier/@42.19731022,130.31228111,8.78891144a,1634.50192183d,35y,131.61933254h,45.00556988t,0r/data=CigiJgokCUAgt5dOW0RAEaKZbR3RWURAGUuFX4jCf1LAIb1mqN3BgFLAMikKJwolCiExTnNySC14ZXQ1TEpvVEdweHBSR1FhTDEtTHdkZk5EUS0gAQ",Cancelled,Government of china,3000000000,USD,"In May 2014, a Pyongyang official told Hong Kong media that Chinese companies have not leased piers at Rason; speculation that NK/China business relations soured after the execution of Kim Jong Un's uncle (Jang Song-thaek)",
project_006,Malaysia Malacca Kuala Linggi International Port Project,Malaysia,2.388333,101.97,https://archive.ph/20140616081748/http://202.129.173.13/jlmeng/Contentdetail.asp?article_id=671&category_id=1&subcategory_id=22&subcategory2_id=28#selection-753.0-758.0,Active,China Communication Construction Company Ltd.,174000000,USD,,https://www.theedgemarkets.com/article/kuala-linggi-port-operator-embark-rm750-mil-reclamation-project-melaka
project_007,Singapore Pasir Panjang New Berth Project,Singapore,1.276334,103.7842,Google Earth,Active,China Ocean Shipping,2582000000,USD,"Went well, supported by Singaporean shippers. COSCO commenced operations at third berth on 1 January 2018, following a supplemental agreement signed in March 2016 (replacing the original two berths located at Pasir Panjang Terminal 1 with 3 new larger berths at Pasir Panjang Terminal 5)",
project_009,Sri Lanka Colombo Port City Project,Sri Lanka,6.940556,79.836944,Google Earth,Active,China Harbour,1400000000,USD,"Revised plan inaugurated Oct 2018, marked for completion 2041, opposition due to environmental concerns, worries about being in debt to/exploited by China, also concern from India about growing Chinese presence https://www.ft.lk/top-story/--1-b-Colombo-financial-city-to-kick-off-in-Oct-/26-662407, https://www.theurbandeveloper.com/articles/sri-lankas-us15-billion-port-city-colombo-marked-completion-2041,  https://www.bbc.com/news/world-asia-59993386, https://theprint.in/diplomacy/stay-away-from-china-backed-14bn-colombo-port-city-project-indias-message-for-pvt-sector/1035880/",
project_010,Hambantota Port Project,Sri Lanka,6.124167,81.098611,Google Earth,Active,China Harbour,1316000000,USD,"70% stake leased to China Merchants Port Company (CM Port) for 99 years signed in 2017, President Rajapaksa raised concerns about agreement (signed by his predecessor) regarding security, https://thediplomat.com/2020/01/the-hambantota-port-deal-myths-and-realities/",https://en.wikipedia.org/wiki/Hambantota_International_Port
project_011,Kyauk Pyu Port Project,Myanmar,19.370278,93.681667,Google Earth,Active,CITIC Consortium,1300000000,USD,"Myanmar junta expediting the project (Kyaukphyu Special Economic Zone aka KPSEZ and deep sea port), management committee organized in May 2021. Initial agreement est project at $7 bill, but Myanmar reduced scope to $1.3 bill following fears of debt trap; India has concerns over project, https://economictimes.indiatimes.com/news/international/world-news/myanmar-junta-expedites-work-on-china-funded-kyaukphyu-port/articleshow/85167272.cms?from=mdr",https://frontierindia.com/chinas-myanmar-kyaukpyu-port-sits-uncomfortably-close-to-the-indian-nuclear-submarine-base/
project_012,Lobito Port Expansion Project,Angola,-12.3475,13.547222,Google Earth,Active,China Harbour,1200000000,USD,"Port of Lobito being privatised, want to expand network on Atlantic coast, create alternative to Indian Ocean coast",https://www.africom.mil/article/6335/us-navy-ship-visits-lobito-angola
project_013,Lekki Deepwater Port Phase 1 Project,Nigeria,6.412778,4.101389,Google Earth,Active,China Harbour,1500000000,USD,; Nigeria's deepest portCompleted,https://www.theepochtimes.com/chinese-port-in-lagos-could-threaten-continental-us-with-missiles-congressman_5038020.html
project_014,Tamatave Deepwater Port Project (formerly Toamasina),Madagascar,-18.156389,49.425,Google Earth,Active,China Communication Construction Company Ltd.,1017000000,USD,"Resumed work on extension in 2018, with part of the extension being operational around 2022, with project completion expected in 2025 , worries of debt-trap",https://economictimes.indiatimes.com/news/international/world-news/madagascar-fights-for-sovereignty-amid-chinese-debt-trap-diplomacy/articleshow/87036731.cms?from=mdr
