data source,src_name,src_id,location/city,location/country,patner institution ,prj_name,latitude,longitude,geocoded,description,type,year_start,year_end,legend_y,cost,currency,funder,status,validation
,,,Kabul ,Afghanistan,Kabul University,,34.5152,69.1896,,,Confucius Institute,,,,,,,,
,,,Tirana,Albania,University of Tirana ,,41.3192378,19.8325659,,,Confucius Institute,,,,,,,,
,,,Luanda,Angola,Agostinho Neto University,,-8.9423358,13.281091,,,Confucius Institute,,,,,,,,
,,,Antigua and Barbuda,,,,,,,,,,,,,,,,
https://www.institutoconfucio.edu.ar/esp/instituto/,,,Buenos Aires,Argentina,Universidad de Buenos Aires,,-34.5998491,-58.3974476,,"The Confucius Institute of the University of Buenos Aires was inaugurated in 2009, being the first to be established in Argentina. It operates in cooperation with Jilin University, the Chinese International Education Foundation, and the Language Education and Cooperation Center.",Confucius Institute,2009,NA,,,,,operating,
https://china.aiddata.org/projects/44155/,,,La Plata,Argentina,"National University of La Plata
",,-34.9130727,-57.9515223,,"Confucius Institute at the National University of La Plata was set up on 1st September, 2010. Its partner Chinese institution is Xi'an International Studies University.",Confucius Institute,,,,,,Hanban (Confucius Institute Headquarters) [Government Agency],operating,
https://www.unc.edu.ar/english/confucius-institute-national-university-cordoba-was-opened,,,Cordoba,Argentina ,Universidad nacional de Cordoba ,,-31.4355141,-64.1856161,,,Confucius Institute,2020,,,,,,operating ,
https://brusov.am/en/page_list/confucius_institute/#sthash.tAebgnoc.dpbs,,,Yerevan ,Armenia,Brusov state university ,,40.187591,44.510512,,,Confucius Institute,,,,,,,,
,,,,,,,,,,,,,,,,,,,
https://confucius.adelaide.edu.au/,,,,Australia,University of Adelaide ,,-34.9205,138.6069,,"The Confucius Institute was officially launched in March 2007 by the then Federal Minister for Foreign Affairs the Hon. Alexander Downer.

2017 marked the 10th year anniversary of the establishment of the Confucius Institute at the University of Adelaide.

The establishment of the Confucius Institute with Shandong University consolidates longstanding ties with the University of Adelaide and coincides with the twentieth anniversary of the Sister State relationship between South Australia and Shandong Province.",Confucius Institute,,,,,,,,
