Country,City,Type of Mission,Chinese Mission Name,Ambassador Name,Continent
Algeria,Algiers,Embassy,Chinese Embassy in Algeria,Dong Guangli,Africa
Angola,Luanda,Embassy,Chinese Embassy in Angola,Zhang Bin,Africa
Benin,Cotonou,Embassy,Chinese Embassy in Benin,Zhang Wei,Africa
Botswana,Gaborone,Embassy,Chinese Embassy in Botswana,Fan Yong,Africa
Burkina Faso,Ouagadougou,Embassy,Chinese Embassy in Burkina Faso,Lu Shan,Africa
Burundi,Bujumbura,Embassy,Chinese Embassy in Burundi,Zhao Jiangping,Africa
Cameroon,Yaoundé,Embassy,Chinese Embassy in Cameroon,Wang Yingwu,Africa
Cape Verde (Cabo Verde),Praia,Embassy,Chinese Embassy in Cape Verde (Cabo Verde),Xu Jie,Africa
Central African Republic,Bangui,Embassy,Chinese Embassy in Central African Republic,Li Qinfeng,Africa
Chad,N'Djamena,Embassy,Chinese Embassy in Chad,Wang Xining,Africa
Comoros,Moroni,Embassy,Chinese Embassy in Comoros,Guo Zhijun,Africa
Congo,Brazzaville,Embassy,Chinese Embassy in Congo,Li Yan,Africa
Côte d'Ivoire,Abidjan,Embassy,Chinese Embassy in Côte d'Ivoire,Wu Jie,Africa
Djibouti,Djibouti City,Embassy,Chinese Embassy in Djibouti,Hu Bin,Africa
DRC,Kinshasa,Embassy,Chinese Embassy in the DRC,Zhao Bin,Africa
Egypt,Cairo,Embassy,Chinese Embassy in Egypt,Liao Liqiang,Africa
Equatorial Guinea,Malabo,Embassy,Chinese Embassy in Equatorial Guinea,Wang Wengang,Africa
Eritrea,Asmara,Embassy,Chinese Embassy in Eritrea,Li Xiang,Africa
Ethiopia,Addis Ababa,Embassy,Chinese Embassy in Ethiopia,Chen Hai,Africa
Gabon,Libreville,Embassy,Chinese Embassy in Gabon,Zhou Ping,Africa
Gambia,Banjul,Embassy,Chinese Embassy in Gambia,Liu Jin,Africa
Ghana,Accra,Embassy,Chinese Embassy in Ghana,Tong Defa,Africa
Guinea,Conakry,Embassy,Chinese Embassy in Guinea,Huang Wei,Africa
Guinea-Bissau,Bissau,Embassy,Chinese Embassy in Guinea-Bissau,Yang Renhuo,Africa
Kenya,Nairobi,Embassy,Chinese Embassy in Kenya,Guo Haiyan,Africa
Lesotho,Maseru,Embassy,Chinese Embassy in Lesotho,Yang Xiaokun,Africa
Liberia,Monrovia,Embassy,Chinese Embassy in Liberia,Yin Chengwu,Africa
Libya,Tripoli,Embassy,Chinese Embassy in Libya,Li Zhiguo,Africa
Madagascar,Antananarivo,Embassy,Chinese Embassy in Madagascar,Ji Ping,Africa
Malawi,Lilongwe,Embassy,Chinese Embassy in Malawi,Long Zhou,Africa
Mali,Bamako,Embassy,Chinese Embassy in Mali,Chen Zhihong,Africa
Mauritania,Nouakchott,Embassy,Chinese Embassy in Mauritania,Tang Zhongdong,Africa
Mauritius,Port Louis,Embassy,Chinese Embassy in Mauritius,Zhu Liying,Africa
Morocco,Rabat,Embassy,Chinese Embassy in Morocco,Li Changlin,Africa
Mozambique,Maputo,Embassy,Chinese Embassy in Mozambique,Wang Hejun,Africa
Namibia,Windhoek,Embassy,Chinese Embassy in Namibia,Zhao Weiping,Africa
Niger,Niamey,Embassy,Chinese Embassy in Niger,Jiang Feng,Africa
Nigeria,Abuja,Embassy,Chinese Embassy in Nigeria,Yu Dunhai,Africa
Rwanda,Kigali,Embassy,Chinese Embassy in Rwanda,Wang Xuekun,Africa
São Tomé and Principe,Ponta Mina,Embassy,Chinese Embassy in São Tomé and Principe,Xu Yingzhen,Africa
Senegal,Dakar,Embassy,Chinese Embassy in Senegal,Xiao Han,Africa
Seychelles,Victoria,Embassy,Chinese Embassy in Seychelles,Lin Nan,Africa
Sierra Leone,Freetown,Embassy,Chinese Embassy in Sierra Leone,Wang Qing,Africa
Somalia,Mogadishu,Embassy,Chinese Embassy in Somalia,Wang Yu,Africa
South Africa,Pretoria,Embassy,Chinese Embassy in South Africa,Wu Peng,Africa
