Name of News Agency,Location (Latitude),Location (Longitude),City,Country,Official Precence of the Platform (Youtube),Official Precence of the Platform (Instagram),Official Precence of the Platform (Twitter),Official Precence of the Platform (Facebook),Official Precence of the Platform (Tiktok),Source of Information,Amount Spent in Country (USD),Office Opening Year,Additional Notes
Xinhua News Agency,39.901133,116.360034,Beijing,China,1.42M,1.63M,11.9M,96M,379.7K,https://english.news.cn/20230130/3f2ba4b7cd214a209dda790ddbdcb620/c.html,,1931,183 overseas branches
Xinhua News Agency,22.276915,114.182038,Hong Kong,China,,,,,,,,1984,
Xinhua News Agency,35.642976,139.71698,Tokyo,Japan,,,,,,,,,
Xinhua News Agency,28.573333,77.184799,New Delhi,India,,,,,,,,,Permanent closure
Xinhua News Agency,34.5553,69.2075,Kabul,Afghanistan,,,,,,,,,
Xinhua News Agency,-35.2809,149.1300,Canberra,Australia,,,,,,,,,
Xinhua News Agency,-37.8136,144.9631,Melbourne,Australia,,,,,,,,,
Xinhua News Agency,-33.8688,151.2093,Sydney,Australia,,,,,,https://www.linkedin.com/in/xinhua-australia-708ba1a5/,,,
Xinhua News Agency,33.6844,73.0479,Islamabad,Pakistan,,,,,,,,,
Xinhua News Agency,39.0392,125.7625,Pyongyang,North Korea,,,,,,,,,
Xinhua News Agency,37.5665,126.9780,Seoul,South Korea,,,,,,,,,
Xinhua News Agency,-8.5569,125.5603,Dili,East Timor,,,,,,,,,
Xinhua News Agency,-18.1416,178.4419,Suva,Fiji,,,,,,,,,
Xinhua News Agency,14.5995,120.9842,Manila,Philippines,,,,,,,,,
Xinhua News Agency,11.5564,104.9282,Phnom Penh,Cambodia,,,,,,,,,
Xinhua News Agency,17.9757,102.6331,Vientiane,Laos,,,,,,,,,
Xinhua News Agency,4.1755,73.5093,Male,Maldives,,,,,,,,,
Xinhua News Agency,3.1390,101.6869,Kuala Lumpur,Malaysia,,,,,,,,,
Xinhua News Agency,23.8103,90.4125,Dhaka,Bangladesh,,,,,,,,,
Xinhua News Agency,16.8661,96.1951,Yangon,Myanmar,,,12.5K,,,https://xinhuamyanmar.com/about-us/,,,
Xinhua News Agency,27.7172,85.3240,Kathmandu,Nepal,,,,,,,,,
Xinhua News Agency,34.6937,135.5023,Osaka,Japan,,,,,,,,,
Xinhua News Agency,33.5904,130.4017,Fukuoka,Japan,,,,,,,,,
Xinhua News Agency,6.9271,79.8612,Colombo,Sri Lanka,,,,,,,,,
Xinhua News Agency,13.7563,100.5018,Bangkok,Thailand,,,,,,,,,
Xinhua News Agency,4.9031,114.9398,Bandar Seri Begawan,Brunei,,,,,,,,,
Xinhua News Agency,1.3521,103.8198,Singapore,Singapore,,,,,,,,,
Xinhua News Agency,-41.2866,174.7756,Wellington,New Zealand,,,,,,,,,
Xinhua News Agency,19.0760,72.8777,Mumbai,India,,,,,,,,,
Xinhua News Agency,22.5726,88.3639,Calcutta,India,,,,,,,,,
Xinhua News Agency,-6.2088,106.8456,Jakarta,Indonesia,,,61.8K,,,,,,
Xinhua News Agency,21.0285,105.8542,Hanoi,Vietnam,,,49.7K,,,,,,
Xinhua News Agency,10.8231,106.6297,Ho Chi Minh City,Vietnam,,,,,,,,,
Xinhua News Agency,22.1987,113.5439,Macao,China,,,,,,,,,
Xinhua News Agency,36.7538,3.0588,Algiers,Algeria,,,,,,,,,
Xinhua News Agency,24.4539,54.3773,Abu Dhabi,UAE,,,,,,,,,
Xinhua News Agency,25.2048,55.2708,Dubai,UAE,,,,,,,,,
Xinhua News Agency,23.5880,58.3829,Muscat,Oman,,,,,,,,,
Xinhua News Agency,31.5017,34.4668,Gaza,Palestine,,,,,,,,,
Xinhua News Agency,26.2285,50.5860,Manama,Bahrain,,,,,,,,,
Xinhua News Agency,25.2854,51.5310,Doha,Qatar,,,,,,,,,
Xinhua News Agency,29.3759,47.9774,Kuwait City,Kuwait,,,,,,,,,
Xinhua News Agency,33.8938,35.5018,Beirut,Lebanon,,,,,,,,,
Xinhua News Agency,32.8872,13.1913,Tripoli,Libya,,,,,,,,,
Xinhua News Agency,33.9716,-6.8498,Rabat,Morocco,,,,,,,,,
Xinhua News Agency,24.7136,46.6753,Riyadh,Saudi Arabia,,,,,,,,,
Xinhua News Agency,15.5007,32.5599,Khartoum,Sudan,,,,,,,,,
Xinhua News Agency,39.9334,32.8597,Ankara,Turkey,,,11.2K,,,,,,
Xinhua News Agency,41.0082,28.9784,Istanbul,Turkey,,,,,,,,,
Xinhua News Agency,36.8065,10.1815,Tunis,Tunisia,,,,,,,,,
Xinhua News Agency,33.5138,36.2765,Damascus,Syria,,,,,,,,,
Xinhua News Agency,15.3694,44.1910,Sana'a,Yemen,,,,,,,,,
Xinhua News Agency,33.3152,44.3661,Baghdad,Iraq,,,,,,,,,
Xinhua News Agency,35.6892,51.3890,Tehran,Iran,,,,,,,,,
Xinhua News Agency,31.7683,35.2137,Jerusalem,Israel,,,,,,,,,
Xinhua News Agency,31.9454,35.9284,Amman,Jordan,,,,,,,,,
Xinhua News Agency,19.35545149,-99.19482086,Mexico City,Mexico,,,,,,,,1985,OFICINA REGIONAL PARA AMERICA LATINA AGENCIA DE NOTICIAS XINHUA
Xinhua News Agency,-34.6037,-58.3816,Buenos Aires,Argentina,,,,,,,,,
Xinhua News Agency,-25.2867,-57.3333,Asunción,Paraguay,,,,,,,,,
Xinhua News Agency,8.9824,-79.5199,Panama City,Panama,,,,,,,,,
Xinhua News Agency,-22.9068,-43.1729,Rio de Janeiro,Brazil,,,,96.87M,,,,,
Xinhua News Agency,-15.7801,-47.9292,Brasilia,Brazil,,,,,,,,,
Xinhua News Agency,-23.5505,-46.6333,São Paulo,Brazil,,,,,,,,,
Xinhua News Agency,-12.0464,-77.0428,Lima,Peru,,,,,,,,,
Xinhua News Agency,-16.4897,-68.1193,La Paz,Bolivia,,,,,,,,,
Xinhua News Agency,18.4861,-69.9312,Santo Domingo,Dominican Republic,,,,,,,,,
Xinhua News Agency,-0.1807,-78.4678,Quito,Ecuador,,,,,,,,,
Xinhua News Agency,4.7110,-74.0721,Bogota,Colombia,,,,,,,,,
Xinhua News Agency,9.9281,-84.0907,San José,Costa Rica,,,,,,,,,
Xinhua News Agency,23.1136,-82.3666,Havana,Cuba,,,,,,,,,
Xinhua News Agency,12.1149,-86.2361,Managua,Nicaragua,,,,,,,,,
Xinhua News Agency,5.8520,-55.2038,Paramaribo,Suriname,,,,,,,,,
Xinhua News Agency,10.6650,-61.5180,Port of Spain,Trinidad and Tobago,,,,,,,,,
Xinhua News Agency,10.4806,-66.9036,Caracas,Venezuela,,,,,,,,,
Xinhua News Agency,-34.9011,-56.1645,Montevideo,Uruguay,,,,,,,,,
Xinhua News Agency,18.0179,-76.8099,Kingston,Jamaica,,,,,,,,,
Xinhua News Agency,-33.4489,-70.6693,Santiago,Chile,,,,,,,,,
Xinhua News Agency,14.0723,-87.1921,Tegucigalpa,Honduras,,,,,,,,,
Xinhua News Agency,9.0320,38.7492,Addis Ababa,Ethiopia,,,,,,,,,
Xinhua News Agency,-8.8389,13.2894,Luanda,Angola,,,,,,,,,
Xinhua News Agency,6.3676,2.4185,Cotonou,Benin,,,,,,,,,
Xinhua News Agency,-24.6282,25.9231,Gaborone,Botswana,,,,,,,,,
Xinhua News Agency,6.1375,1.2123,Lomé,Togo,,,,,,,,,
Xinhua News Agency,-4.2634,15.2429,Brazzaville,The Republic of the Congo,,,,,,,,,
Xinhua News Agency,-4.4419,15.2663,Kinshasa,The Democratic Republic of the Congo,,,,,,,,,
Xinhua News Agency,9.5370,-13.6785,Conakry,Guinea,,,,,,,,,
Xinhua News Agency,5.6037,-0.1870,Accra,Ghana,,,,,,,,,
Xinhua News Agency,0.4162,9.4673,Libreville,Gabon,,,,,,,,,
Xinhua News Agency,-17.8292,31.0522,Harare,Zimbabwe,,,,,,,,,
Xinhua News Agency,3.8480,11.5021,Yaoundé,Cameroon,,,,,,,,,
Xinhua News Agency,2.831085,36.79574,Nairobi,Kenya,,,9309,,,,,1986,AFRICAN REGIONAL BUREAU
Xinhua News Agency,5.3600,-4.0083,Abidjan,Ivory Coast,,,,,,,,,
Xinhua News Agency,-1.9441,30.0619,Kigali,Rwanda,,,,,,,,,
Xinhua News Agency,-18.8792,47.5079,Antananarivo,Madagascar,,,,,,,,,
Xinhua News Agency,12.6392,-8.0029,Bamako,Mali,,,,,,,,,
Xinhua News Agency,-20.1609,57.5012,Port Louis,Mauritius,,,,,,,,,
Xinhua News Agency,-25.9692,32.5732,Maputo,Mozambique,,,,,,,,,
Xinhua News Agency,-22.5609,17.0658,Windhoek,Namibia,,,,,,,,,
Xinhua News Agency,-26.2041,28.0473,Johannesburg,South Africa,,,,,,,,,
Xinhua News Agency,-33.9249,18.4241,Cape Town,South Africa,,,,,,https://www.linkedin.com/company/xinhua-news-agency-cape-town-bureau/about/,,,
Xinhua News Agency,4.8594,31.5713,Juba,South Sudan,,,,,,,,,
Xinhua News Agency,6.5244,3.3792,Lagos,Nigeria,,,,,,,,,
Xinhua News Agency,9.0765,7.3986,Abuja,Nigeria,,,,,,,,,
Xinhua News Agency,14.6937,-17.4441,Dakar,Senegal,,,,,,,,,
Xinhua News Agency,-6.7924,39.2083,Dar es Salaam,Tanzania,,,,,,,,,
Xinhua News Agency,0.3476,32.5825,Kampala,Uganda,,,,,,,,,
Xinhua News Agency,-15.3875,28.3228,Lusaka,Zambia,,,,,,,,,
Xinhua News Agency,50.846132,4.383415,Brussels,Belgium,,,,,,,,2004,BUREAU REGIONAL D'EUROPE (BRUXELLES)
Xinhua News Agency,51.54376222,-0.1758295069,London,UK,,,,,,,,,
Xinhua News Agency,50.100252,8.660187,Berlin,Germany,,,5552,,,http://www.news.cn/newmedia/xhs80/photo_zxsj.html,,,
Xinhua News Agency,48.906143,2.300242,Paris,France,,,16.7K,,,,,,
Xinhua News Agency,41.3275,19.8187,Tirana,Albania,,,,,,,,,
Xinhua News Agency,53.3498,-6.2603,Dublin,Ireland,,,,,,,,,
Xinhua News Agency,59.4370,24.7536,Tallinn,Estonia,,,,,,,,,
Xinhua News Agency,48.2082,16.3738,Vienna,Austria,,,,,,,,,
Xinhua News Agency,42.6977,23.3219,Sofia,Bulgaria,,,,,,,,,
Xinhua News Agency,50.8503,4.3517,Brussels,Belgium,,,,,,,,,
Xinhua News Agency,64.1265,-21.8174,Reykjavik,Iceland,,,,,,,,,
Xinhua News Agency,43.8563,18.4131,Sarajevo,Bosnia and Herzegovina,,,,,,,,,
Xinhua News Agency,52.2297,21.0122,Warsaw,Poland,,,,,,,,,
Xinhua News Agency,55.6761,12.5683,Copenhagen,Denmark,,,,,,,,,
Xinhua News Agency,50.1109,8.6821,Frankfurt,Germany,,,,,,,,,
